Mr,DAug,DAgr,DAri,DAiz,DBug,DBgr,DBri,DBiz,DCug,DCgr,DCri,DCiz
12.019999999999925,0.3715089923210379,-0.1594200334891611,-0.16910085754757462,-0.1929675357118578,0.03533571868767911,-0.20043745018771497,-0.17611553722779522,-0.11627161022274324,-0.023635124510215294,-0.24279211879652948,-0.20701189395640096,-0.26354255906296725
12.039999999999925,0.37487994245418277,-0.155167607735789,-0.1663932061221773,-0.19058729835314692,0.03906635431972046,-0.19704137396784782,-0.17386223650088928,-0.11213114932684037,-0.017705281222226345,-0.23813729309610865,-0.20519630908465716,-0.26117843623700915
12.059999999999924,0.3782127955135077,-0.15090333771897457,-0.16367355834540792,-0.1882114254419643,0.042796989951761816,-0.19364529774798067,-0.17160893577398334,-0.10799068843093751,-0.011775437934237395,-0.23348246739568781,-0.20337053391793897,-0.25881431341105104
12.079999999999924,0.38150850016755256,-0.1466271239145909,-0.16094175333926475,-0.1858398930577953,0.046527625583803175,-0.19024922152811355,-0.16935563504707737,-0.10385022753503464,-0.005845594646248447,-0.22882764169526698,-0.20153439492092393,-0.25645019058509294
12.099999999999923,0.3847679707089119,-0.1423388653968635,-0.15819762659749345,-0.18347267749783486,0.05025826121584453,-0.1868531453082464,-0.16710233432017144,-0.09970976663913178,8.424864174050268e-05,-0.22417281599484615,-0.19968771357629023,-0.25408606775913484
12.119999999999923,0.3879920886159894,-0.13803845981057739,-0.1554410098699846,-0.18110975527422338,0.05398889684788588,-0.18345706908837925,-0.16484903359326547,-0.09556930574322892,0.006014091929729452,-0.2195179902944253,-0.19783030618214859,-0.25172194493317673
12.139999999999922,0.39118170403364677,-0.1337258033425718,-0.15267173104239198,-0.1787511031113276,0.057719532479927234,-0.18006099286851213,-0.16259573286635953,-0.09142884484732605,0.011943935217718402,-0.21486316459400448,-0.19596198363876016,-0.24935782210721866
12.159999999999922,0.3943376371771365,-0.12940079069249963,-0.1498896140107284,-0.17639669794306587,0.06145016811196859,-0.17666491664864498,-0.1603424321394536,-0.08728838395142319,0.01787377850570735,-0.21020833889358365,-0.19408255122383863,-0.24699369928126055
12.179999999999922,0.3974606796634968,-0.1250633150428286,-0.1470944785506796,-0.17404651691027612,0.06518080374400995,-0.17326884042877783,-0.15808913141254763,-0.08314792305552031,0.0238036217936963,-0.2055535131931628,-0.19219180835568211,-0.24462957645530245
12.199999999999921,0.4005515957743875,-0.12071326802806014,-0.1442861401813624,-0.17170053735812674,0.06891143937605129,-0.1698727642089107,-0.1558358306856417,-0.07900746215961744,0.02973346508168525,-0.20089868749274198,-0.19028954834331754,-0.24226545362934435
